no,scenario_num,epoch,total_epoch,vocabulary,drop_rate,learning_rate,weight_decay,vocabulary_total,n_heads,train_acc,test_acc,train_loss,test_loss,time
1,1,100,11,None,0.1,0.01,0.01,8898,1,0.2306,0.4786150712830957,1.6015,1.1566432379413767,00:41
2,2,100,10,None,0.1,0.01,0.001,8898,1,0.2320,0.5173116089613035,1.6019,1.4308184805324267,00:37
3,3,100,8,None,0.1,0.01,0.0001,8898,1,0.2407,0.2545824847250509,1.5942,1.306303003897735,00:31
4,4,100,13,None,0.1,0.001,0.01,8898,1,0.9642,0.9083503054989817,0.0986,0.28423891133057855,00:48
5,5,100,13,None,0.1,0.001,0.001,8898,1,0.9558,0.9226069246435845,0.1264,0.3194806541177746,00:48
6,6,100,13,None,0.1,0.001,0.0001,8898,1,0.9555,0.8859470468431772,0.1327,0.3188832646535516,00:48
7,7,100,28,None,0.1,0.0001,0.01,8898,1,0.9118,0.8940936863543788,0.2401,0.32546057368490217,01:41
8,8,100,31,None,0.1,0.0001,0.001,8898,1,0.9235,0.9083503054989817,0.2065,0.30524456582948295,01:50
9,9,100,23,None,0.1,0.0001,0.0001,8898,1,0.8951,0.8879837067209776,0.2914,0.3431070972605781,01:24
10,10,100,9,None,0.3,0.01,0.01,8898,1,0.2209,0.13238289205702647,1.5991,1.6244302706417386,00:35
11,11,100,21,None,0.3,0.01,0.001,8898,1,0.2172,0.28716904276985744,1.6010,1.4065323932107743,01:19
12,12,100,7,None,0.3,0.01,0.0001,8898,1,0.2296,0.19144602851323828,1.6046,1.6278585375205077,00:29
13,13,100,20,None,0.3,0.001,0.01,8898,1,0.9487,0.9266802443991853,0.1513,0.23533143075808974,01:14
14,14,100,17,None,0.3,0.001,0.001,8898,1,0.9315,0.9124236252545825,0.1973,0.25885953637344533,01:04
15,15,100,17,None,0.3,0.001,0.0001,8898,1,0.9296,0.9042769857433809,0.1979,0.2629575671707783,01:04
16,16,100,42,None,0.3,0.0001,0.01,8898,1,0.8793,0.9103869653767821,0.3126,0.267796143676987,02:30
17,17,100,41,None,0.3,0.0001,0.001,8898,1,0.8736,0.9063136456211812,0.3317,0.2867666464716257,02:27
18,18,100,30,None,0.3,0.0001,0.0001,8898,1,0.8591,0.9063136456211812,0.3887,0.27355733176962665,01:49
19,19,100,9,None,0.5,0.01,0.01,8898,1,0.2315,0.19144602851323828,1.6021,1.6271930532397174,00:34
20,20,100,15,None,0.5,0.01,0.001,8898,1,0.2344,0.13238289205702647,1.5978,1.6299657809515835,00:56
21,21,100,6,None,0.5,0.01,0.0001,8898,1,0.2285,0.19144602851323828,1.6018,1.626511399469162,00:24
22,22,100,23,None,0.5,0.001,0.01,8898,1,0.9172,0.9389002036659878,0.2371,0.2017333271425756,01:24
23,23,100,34,None,0.5,0.001,0.001,8898,1,0.9433,0.9327902240325866,0.1660,0.20933341594553284,02:04
24,24,100,27,None,0.5,0.001,0.0001,8898,1,0.9240,0.9185336048879837,0.2142,0.21593855360860495,01:38
25,25,100,71,None,0.5,0.0001,0.01,8898,1,0.8624,0.9022403258655805,0.3667,0.2661853120064784,04:11
26,26,100,37,None,0.5,0.0001,0.001,8898,1,0.8078,0.8818737270875764,0.5200,0.3435290952928197,02:12
27,27,100,27,None,0.5,0.0001,0.0001,8898,1,0.7767,0.8655804480651731,0.5784,0.39533288634236136,01:38
28,28,100,14,use_stopwords,0.1,0.01,0.01,8766,1,0.2233,0.34826883910386963,1.5987,1.6012984749741563,00:33
29,29,100,6,use_stopwords,0.1,0.01,0.001,8766,1,0.2301,0.13238289205702647,1.5988,1.62883594929565,00:16
30,30,100,34,use_stopwords,0.1,0.01,0.0001,8766,1,0.5762,0.5336048879837068,0.9979,1.1548336751592134,01:19
31,31,100,9,use_stopwords,0.1,0.001,0.01,8766,1,0.8275,0.7474541751527495,0.4632,0.7460577277933265,00:22
32,32,100,11,use_stopwords,0.1,0.001,0.001,8766,1,0.8595,0.7657841140529531,0.3902,0.6810835269099583,00:27
33,33,100,11,use_stopwords,0.1,0.001,0.0001,8766,1,0.8591,0.7494908350305499,0.3995,0.7570674557792679,00:27
34,34,100,29,use_stopwords,0.1,0.0001,0.01,8766,1,0.8334,0.7596741344195519,0.4542,0.7009432920370471,01:07
35,35,100,24,use_stopwords,0.1,0.0001,0.001,8766,1,0.8113,0.7576374745417516,0.5128,0.7102835868502343,00:56
36,36,100,23,use_stopwords,0.1,0.0001,0.0001,8766,1,0.8094,0.7494908350305499,0.5035,0.7265389375312751,00:54
37,37,100,9,use_stopwords,0.3,0.01,0.01,8766,1,0.2313,0.3645621181262729,1.6049,1.4405025539961462,00:22
38,38,100,11,use_stopwords,0.3,0.01,0.001,8766,1,0.2231,0.329938900203666,1.6058,1.5651099856662167,00:27
39,39,100,5,use_stopwords,0.3,0.01,0.0001,8766,1,0.2384,0.13238289205702647,1.6019,1.6297115145778462,00:13
40,40,100,14,use_stopwords,0.3,0.001,0.01,8766,1,0.8099,0.7820773930753564,0.5255,0.6655063843411486,00:33
41,41,100,20,use_stopwords,0.3,0.001,0.001,8766,1,0.8767,0.7983706720977597,0.3324,0.6229341172152284,00:48
42,42,100,16,use_stopwords,0.3,0.001,0.0001,8766,1,0.8292,0.7861507128309573,0.4668,0.592748824605631,00:39
43,43,100,31,use_stopwords,0.3,0.0001,0.01,8766,1,0.7591,0.7596741344195519,0.6544,0.6987194219820368,01:12
44,44,100,28,use_stopwords,0.3,0.0001,0.001,8766,1,0.7471,0.7576374745417516,0.6695,0.695933194364404,01:06
45,45,100,31,use_stopwords,0.3,0.0001,0.0001,8766,1,0.7579,0.769857433808554,0.6442,0.6847102700328632,01:13
46,46,100,9,use_stopwords,0.5,0.01,0.01,8766,1,0.2355,0.19144602851323828,1.6018,1.6213122137695126,00:23
47,47,100,36,use_stopwords,0.5,0.01,0.001,8766,1,0.7245,0.7270875763747454,0.7983,0.8125651221411291,01:24
48,48,100,11,use_stopwords,0.5,0.01,0.0001,8766,1,0.2278,0.19144602851323828,1.6005,1.625121362340426,00:27
49,49,100,29,use_stopwords,0.5,0.001,0.01,8766,1,0.8391,0.8044806517311609,0.4353,0.5710558227876054,01:08
50,50,100,25,use_stopwords,0.5,0.001,0.001,8766,1,0.8125,0.790224032586558,0.5177,0.5925792169182461,00:58
51,51,100,33,use_stopwords,0.5,0.001,0.0001,8766,1,0.8732,0.824847250509165,0.3624,0.5449271802382654,01:17
52,52,100,73,use_stopwords,0.5,0.0001,0.01,8766,1,0.7424,0.790224032586558,0.6650,0.6291278942417953,02:49
53,53,100,50,use_stopwords,0.5,0.0001,0.001,8766,1,0.7049,0.7657841140529531,0.7613,0.6767699728186893,01:56
54,54,100,62,use_stopwords,0.5,0.0001,0.0001,8766,1,0.7414,0.7678207739307535,0.6862,0.6396707287266881,02:22
55,55,100,6,use_stemming,0.1,0.01,0.01,7375,1,0.2289,0.19144602851323828,1.5989,1.6158926659349027,00:24
56,56,100,10,use_stemming,0.1,0.01,0.001,7375,1,0.2301,0.21181262729124237,1.6531,1.615463636557585,00:38
57,57,100,9,use_stemming,0.1,0.01,0.0001,7375,1,0.2191,0.19144602851323828,1.5988,1.6220114265100047,00:34
58,58,100,14,use_stemming,0.1,0.001,0.01,7375,1,0.9299,0.8655804480651731,0.1933,0.34627608296341905,00:53
59,59,100,12,use_stemming,0.1,0.001,0.001,7375,1,0.9106,0.8553971486761711,0.2543,0.3983574251050619,00:46
60,60,100,14,use_stemming,0.1,0.001,0.0001,7375,1,0.9231,0.8615071283095723,0.2139,0.36548641615389804,00:52
61,61,100,35,use_stemming,0.1,0.0001,0.01,7375,1,0.8659,0.8615071283095723,0.3484,0.4065569406128707,02:05
62,62,100,40,use_stemming,0.1,0.0001,0.001,7375,1,0.8816,0.8716904276985743,0.3047,0.37856379746176805,02:23
63,63,100,28,use_stemming,0.1,0.0001,0.0001,7375,1,0.8452,0.8615071283095723,0.4112,0.3852518089798463,01:41
64,64,100,6,use_stemming,0.3,0.01,0.01,7375,1,0.2339,0.19144602851323828,1.5999,1.6241149805228239,00:24
65,65,100,5,use_stemming,0.3,0.01,0.001,7375,1,0.2212,0.19144602851323828,1.6233,1.6219228826569443,00:20
66,66,100,6,use_stemming,0.3,0.01,0.0001,7375,1,0.2285,0.17515274949083504,1.6056,1.6214636969712017,00:24
67,67,100,18,use_stemming,0.3,0.001,0.01,7375,1,0.9005,0.8716904276985743,0.2786,0.34090919346527754,01:07
68,68,100,15,use_stemming,0.3,0.001,0.001,7375,1,0.8892,0.8574338085539714,0.3026,0.3658083390194141,00:57
69,69,100,23,use_stemming,0.3,0.001,0.0001,7375,1,0.9346,0.890020366598778,0.1879,0.32056358262380613,01:24
70,70,100,60,use_stemming,0.3,0.0001,0.01,7375,1,0.8576,0.8716904276985743,0.3649,0.34713146782455523,03:32
71,71,100,47,use_stemming,0.3,0.0001,0.001,7375,1,0.8320,0.8574338085539714,0.4316,0.3843920755289237,02:48
72,72,100,57,use_stemming,0.3,0.0001,0.0001,7375,1,0.8539,0.8655804480651731,0.3812,0.3713601573907188,03:23
73,73,100,12,use_stemming,0.5,0.01,0.01,7375,1,0.2205,0.13034623217922606,1.5989,1.6170921121741022,00:46
74,74,100,7,use_stemming,0.5,0.01,0.001,7375,1,0.2287,0.13238289205702647,1.6034,1.6328355877559686,00:28
75,75,100,6,use_stemming,0.5,0.01,0.0001,7375,1,0.2400,0.19144602851323828,1.5984,1.621660071817775,00:24
76,76,100,19,use_stemming,0.5,0.001,0.01,7375,1,0.8334,0.869653767820774,0.4367,0.3439682075059584,01:10
77,77,100,30,use_stemming,0.5,0.001,0.001,7375,1,0.8967,0.8818737270875764,0.2904,0.3376371292378412,01:48
78,78,100,32,use_stemming,0.5,0.001,0.0001,7375,1,0.9078,0.8594704684317719,0.2470,0.365340878303085,01:56
79,79,100,33,use_stemming,0.5,0.0001,0.01,7375,1,0.7456,0.8411405295315683,0.6788,0.4826370940189012,01:59
80,80,100,79,use_stemming,0.5,0.0001,0.001,7375,1,0.8099,0.8533604887983707,0.4776,0.35311453957907296,04:40
81,81,100,59,use_stemming,0.5,0.0001,0.0001,7375,1,0.7882,0.8615071283095723,0.5636,0.3943374201867828,03:30
82,82,100,6,use_lemma,0.1,0.01,0.01,8175,1,0.2214,0.28105906313645623,1.6002,1.6150574038324919,00:24
83,83,100,7,use_lemma,0.1,0.01,0.001,8175,1,0.2226,0.15274949083503056,1.6004,1.622387712210599,00:28
84,84,100,13,use_lemma,0.1,0.01,0.0001,8175,1,0.2191,0.2790224032586558,1.6001,1.4667364795921776,00:49
85,85,100,14,use_lemma,0.1,0.001,0.01,8175,1,0.9581,0.9042769857433809,0.1212,0.30909500175483845,00:53
86,86,100,11,use_lemma,0.1,0.001,0.001,8175,1,0.9449,0.90020366598778,0.1623,0.24338989202578054,00:42
87,87,100,15,use_lemma,0.1,0.001,0.0001,8175,1,0.9685,0.9144602851323829,0.0928,0.2961612865784018,00:55
88,88,100,28,use_lemma,0.1,0.0001,0.01,8175,1,0.9052,0.9083503054989817,0.2599,0.3147110691381326,01:41
89,89,100,25,use_lemma,0.1,0.0001,0.001,8175,1,0.8948,0.8859470468431772,0.2844,0.3507132175740788,01:31
90,90,100,29,use_lemma,0.1,0.0001,0.0001,8175,1,0.9106,0.9103869653767821,0.2382,0.3036168580021246,01:44
91,91,100,12,use_lemma,0.3,0.01,0.01,8175,1,0.2285,0.19144602851323828,1.6017,1.6382139848351722,00:44
92,92,100,12,use_lemma,0.3,0.01,0.001,8175,1,0.2247,0.19144602851323828,1.5989,1.626208465113902,00:45
93,93,100,7,use_lemma,0.3,0.01,0.0001,8175,1,0.2202,0.19144602851323828,1.6015,1.6226414985909239,00:28
94,94,100,16,use_lemma,0.3,0.001,0.01,8175,1,0.9195,0.9083503054989817,0.2222,0.23381545347618718,00:59
95,95,100,22,use_lemma,0.3,0.001,0.001,8175,1,0.9565,0.9287169042769857,0.1190,0.2383609581017931,01:20
96,96,100,21,use_lemma,0.3,0.001,0.0001,8175,1,0.9461,0.9022403258655805,0.1561,0.2992904378658885,01:17
97,97,100,32,use_lemma,0.3,0.0001,0.01,8175,1,0.8576,0.9164969450101833,0.3907,0.2860831194642605,01:56
98,98,100,35,use_lemma,0.3,0.0001,0.001,8175,1,0.8649,0.9022403258655805,0.3734,0.29329061963407665,02:06
99,99,100,43,use_lemma,0.3,0.0001,0.0001,8175,1,0.8774,0.9164969450101833,0.3324,0.25099550976651264,02:34
100,100,100,8,use_lemma,0.5,0.01,0.01,8175,1,0.2282,0.13238289205702647,1.6008,1.6288816693358412,00:31
101,101,100,6,use_lemma,0.5,0.01,0.001,8175,1,0.2280,0.19144602851323828,1.6001,1.62543757578506,00:24
102,102,100,10,use_lemma,0.5,0.01,0.0001,8175,1,0.2259,0.19144602851323828,1.5999,1.6230855985960018,00:38
103,103,100,31,use_lemma,0.5,0.001,0.01,8175,1,0.9393,0.9266802443991853,0.1723,0.19258642591187036,01:52
104,104,100,21,use_lemma,0.5,0.001,0.001,8175,1,0.9005,0.8981670061099797,0.2911,0.301000112246593,01:17
105,105,100,23,use_lemma,0.5,0.001,0.0001,8175,1,0.9191,0.9205702647657841,0.2458,0.2328044257132439,01:24
106,106,100,69,use_lemma,0.5,0.0001,0.01,8175,1,0.8541,0.90020366598778,0.3859,0.2591135532210169,04:05
107,107,100,65,use_lemma,0.5,0.0001,0.001,8175,1,0.8501,0.9042769857433809,0.4030,0.26662600738453524,03:51
108,108,100,54,use_lemma,0.5,0.0001,0.0001,8175,1,0.8336,0.90020366598778,0.4503,0.28582430565672834,03:14